Name,Year,Rating,Date
Jackass: The Movie,2002,3,7/23/2021
Punch-Drunk Love,2002,4,7/23/2021
Jackass Number Two,2006,3.5,7/24/2021
Tampopo,1985,4.5,7/24/2021
Jackass 2.5,2007,2.5,7/25/2021
Alien,1979,4.5,7/25/2021
Multiple Maniacs,1970,4,7/25/2021
Jackass 3D,2010,3,7/26/2021
Jackass 3.5,2011,3,7/27/2021
Old,2021,1,7/28/2021
Jackass Presents: Bad Grandpa,2013,2,7/28/2021
Fear Street: 1994,2021,2.5,7/29/2021
Pink Flamingos,1972,3,7/30/2021
Fear Street: 1978,2021,2.5,7/30/2021
Fear Street: 1666,2021,3,7/31/2021
The Joy of Life,2005,4,7/31/2021
The Celluloid Closet,1995,4,8/1/2021
The World's End,2013,3,8/1/2021
Summer of Soul (...or When the Revolution Could Not Be Televised),2021,3.5,8/2/2021
Lingua Franca,2019,4.5,8/3/2021
Rock 'n' Roll High School,1979,3.5,8/4/2021
The Green Knight,2021,3.5,8/5/2021
Howard,2018,3.5,8/7/2021
Cabaret,1972,5,8/7/2021
The Diane Linkletter Story,1970,2.5,8/8/2021
Dorothy the Kansas City Pot Head,1968,,8/8/2021
30/30 Vision: Three Decades of Strand Releasing,2019,,8/8/2021
Night Is Short Walk on Girl,2017,4,8/8/2021
Gimme Shelter,1970,4,8/9/2021
Annette,2021,1.5,8/9/2021
Fear and Loathing in Las Vegas,1998,3.5,8/10/2021
Psycho Goreman,2020,4.5,8/11/2021
Moonstruck,1987,4.5,8/12/2021
First Reformed,2017,5,8/12/2021
Grand Illusion,1937,3.5,8/13/2021
Smiles of a Summer Night,1955,3.5,8/13/2021
Crisis,1946,2,8/14/2021
The Suicide Squad,2021,3.5,8/14/2021
The House with a Clock in Its Walls,2018,2,8/15/2021
Speed Racer,2008,5,8/15/2021
Arrival,2016,3,8/17/2021
The King of Staten Island,2020,3,8/17/2021
What We Do in the Shadows,2014,4,8/20/2021
Mandy,2018,4.5,8/22/2021
Annette,2021,1.5,8/23/2021
Free Guy,2021,3,8/25/2021
Shangri-La,2021,,8/25/2021
Eternal Sunshine of the Spotless Mind,2004,4,8/26/2021
Taxi Driver,1976,4,8/26/2021
Gone Girl,2014,3,8/28/2021
Inglourious Basterds,2009,4,8/29/2021
Hunt for the Wilderpeople,2016,3.5,8/29/2021
Candyman,1992,3,8/30/2021
The Wolf of Wall Street,2013,4,8/31/2021
Call Me by Your Name,2017,4,8/31/2021
CODA,2021,4.5,9/1/2021
American Psycho,2000,4.5,9/2/2021
Happier Than Ever: A Love Letter to Los Angeles,2021,3.5,9/4/2021
Moonlight,2016,4.5,9/5/2021
Coming to America,1988,3,9/5/2021
Kedi,2016,4,9/5/2021
